student_id,teacher_id,class_id,year_group,academic_year,date,assessment_type,subject,score
8,TCH0013,CLS0090,Y12,2024/2025,2025-05-06,*Current Grades,Mathematics,B
8,TCH0009,CLS0093,Y12,2024/2025,2025-04-17,*Current Grades,Science,B
9,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
9,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
9,TCH0012,CLS0026,Y9,2024/2025,2025-03-30,*Current Grades,English,7E
9,TCH0003,CLS0028,Y9,2024/2025,2025-05-29,*Current Grades,Mathematics,9C
9,TCH0019,CLS0035,Y9,2024/2025,2025-04-23,*Current Grades,Science,8E
10,TCH0005,CLS0077,Y12,2024/2025,2025-01-06,*Current Grades,Construction,U
10,TCH0017,CLS0087,Y12,2024/2025,2025-01-07,*Current Grades,English,E
10,TCH0008,CLS0089,Y12,2024/2025,2025-06-22,*Current Grades,Mathematics,D
10,TCH0009,CLS0093,Y12,2024/2025,2025-05-06,*Current Grades,Science,C
11,TCH0015,CLS0099,Y13,2024/2025,2025-01-07,*Current Grades,Construction,D*D*D
11,TCH0011,CLS00102,Y13,2024/2025,2025-02-04,*Current Grades,Hospitality,D*D*D*
11,TCH0007,CLS00105,Y13,2024/2025,2025-05-23,*Current Grades,English,A
11,TCH0013,CLS00110,Y13,2024/2025,2025-06-27,*Current Grades,Mathematics,B
11,TCH0004,CLS00112,Y13,2024/2025,2025-05-13,*Current Grades,Science,B
12,TCH0015,CLS0059,Y11,2024/2025,2025-03-08,*Current Grades,Construction,D1
12,TCH0006,CLS0061,Y11,2024/2025,2025-02-15,*Current Grades,Hospitality,D1
12,TCH0017,CLS0067,Y11,2024/2025,2025-02-07,*Current Grades,English,5
12,TCH0003,CLS0068,Y11,2024/2025,2025-06-21,*Current Grades,Mathematics,6
12,TCH0019,CLS0075,Y11,2024/2025,2025-05-23,*Current Grades,Science,9
13,TCH0005,CLS0097,Y13,2024/2025,2025-02-15,*Current Grades,Construction,MMM
13,TCH0001,CLS00100,Y13,2024/2025,2025-01-27,*Current Grades,Hospitality,PPP
13,TCH0002,CLS00104,Y13,2024/2025,2025-03-08,*Current Grades,English,U
13,TCH0013,CLS00110,Y13,2024/2025,2025-01-04,*Current Grades,Mathematics,E
13,TCH0009,CLS00113,Y13,2024/2025,2025-03-28,*Current Grades,Science,U
14,TCH0010,CLS0078,Y12,2024/2025,2025-06-30,*Current Grades,Construction,DDM
14,TCH0016,CLS0083,Y12,2024/2025,2025-01-04,*Current Grades,Hospitality,MMM
14,TCH0002,CLS0084,Y12,2024/2025,2025-06-28,*Current Grades,English,E
14,TCH0013,CLS0090,Y12,2024/2025,2025-01-31,*Current Grades,Mathematics,D
14,TCH0004,CLS0092,Y12,2024/2025,2025-05-15,*Current Grades,Science,U
15,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
15,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
15,TCH0012,CLS0014,Y8,2024/2025,2025-04-15,*Current Grades,English,9C
15,TCH0004,CLS0020,Y8,2024/2025,2025-04-04,*Current Grades,Science,7E
16,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,95
16,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
16,TCH0010,CLS0038,Y10,2024/2025,2025-04-16,*Current Grades,Construction,D1
16,TCH0011,CLS0042,Y10,2024/2025,2025-04-16,*Current Grades,Hospitality,D2
16,TCH0017,CLS0047,Y10,2024/2025,2025-03-09,*Current Grades,English,5
16,TCH0018,CLS0051,Y10,2024/2025,2025-01-21,*Current Grades,Mathematics,9
16,TCH0009,CLS0053,Y10,2024/2025,2025-05-06,*Current Grades,Science,6
17,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97
17,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
17,TCH0005,CLS0037,Y10,2024/2025,2025-04-01,*Current Grades,Construction,M
17,TCH0016,CLS0043,Y10,2024/2025,2025-04-15,*Current Grades,Hospitality,D*
17,TCH0002,CLS0044,Y10,2024/2025,2025-01-07,*Current Grades,English,5
17,TCH0018,CLS0051,Y10,2024/2025,2025-01-06,*Current Grades,Mathematics,8
17,TCH0009,CLS0053,Y10,2024/2025,2025-06-20,*Current Grades,Science,4
18,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
18,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,101.27592285541154
18,TCH0002,CLS0000,Y7,2024/2025,2025-03-01,*Current Grades,English,7B
18,TCH0008,CLS0005,Y7,2024/2025,2025-04-24,*Current Grades,Mathematics,8E
18,TCH0004,CLS0008,Y7,2024/2025,2025-04-30,*Current Grades,Science,7E
19,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99
19,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,101.84578328544696
19,TCH0007,CLS0013,Y8,2024/2025,2025-06-14,*Current Grades,English,7C
19,TCH0013,CLS0018,Y8,2024/2025,2025-01-29,*Current Grades,Mathematics,9B
19,TCH0004,CLS0020,Y8,2024/2025,2025-06-14,*Current Grades,Science,7C
20,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
20,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
20,TCH0008,CLS0029,Y9,2024/2025,2025-01-06,*Current Grades,Mathematics,7A
21,TCH0000,CLS0056,Y11,2024/2025,2025-05-31,*Current Grades,Construction,D*
21,TCH0006,CLS0061,Y11,2024/2025,2025-06-08,*Current Grades,Hospitality,D1
21,TCH0007,CLS0065,Y11,2024/2025,2025-02-04,*Current Grades,English,7
21,TCH0008,CLS0069,Y11,2024/2025,2025-04-30,*Current Grades,Mathematics,7
21,TCH0019,CLS0075,Y11,2024/2025,2025-04-05,*Current Grades,Science,8
22,TCH0000,CLS0096,Y13,2024/2025,2025-03-07,*Current Grades,Construction,D*D*D
22,TCH0006,CLS00101,Y13,2024/2025,2025-05-20,*Current Grades,Hospitality,DDD
22,TCH0002,CLS00104,Y13,2024/2025,2025-06-16,*Current Grades,English,D
22,TCH0008,CLS00109,Y13,2024/2025,2025-02-10,*Current Grades,Mathematics,D
22,TCH0014,CLS00114,Y13,2024/2025,2025-04-14,*Current Grades,Science,A
23,TCH0010,CLS0058,Y11,2024/2025,2025-01-15,*Current Grades,Construction,D*
23,TCH0006,CLS0061,Y11,2024/2025,2025-05-11,*Current Grades,Hospitality,D*
23,TCH0007,CLS0065,Y11,2024/2025,2025-06-17,*Current Grades,English,9
23,TCH0003,CLS0068,Y11,2024/2025,2025-06-17,*Current Grades,Mathematics,7
23,TCH0009,CLS0073,Y11,2024/2025,2025-06-19,*Current Grades,Science,5
24,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97
24,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
24,TCH0002,CLS0024,Y9,2024/2025,2025-04-12,*Current Grades,English,7E
24,TCH0003,CLS0028,Y9,2024/2025,2025-06-14,*Current Grades,Mathematics,8E
24,TCH0019,CLS0035,Y9,2024/2025,2025-01-24,*Current Grades,Science,8C
25,TCH0010,CLS0058,Y11,2024/2025,2025-01-02,*Current Grades,Construction,D1
25,TCH0006,CLS0061,Y11,2024/2025,2025-01-13,*Current Grades,Hospitality,D2
25,TCH0012,CLS0066,Y11,2024/2025,2025-02-16,*Current Grades,English,6
25,TCH0003,CLS0068,Y11,2024/2025,2025-01-23,*Current Grades,Mathematics,4
25,TCH0014,CLS0074,Y11,2024/2025,2025-06-26,*Current Grades,Science,3
26,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99
26,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
26,TCH0005,CLS0037,Y10,2024/2025,2025-02-20,*Current Grades,Construction,P
26,TCH0011,CLS0042,Y10,2024/2025,2025-06-17,*Current Grades,Hospitality,P
26,TCH0007,CLS0045,Y10,2024/2025,2025-01-06,*Current Grades,English,5
26,TCH0013,CLS0050,Y10,2024/2025,2025-01-21,*Current Grades,Mathematics,2
26,TCH0014,CLS0054,Y10,2024/2025,2025-05-20,*Current Grades,Science,6
27,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97
27,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
27,TCH0000,CLS0036,Y10,2024/2025,2025-03-06,*Current Grades,Construction,D2
27,TCH0011,CLS0042,Y10,2024/2025,2025-06-16,*Current Grades,Hospitality,M
27,TCH0017,CLS0047,Y10,2024/2025,2025-04-27,*Current Grades,English,3
27,TCH0013,CLS0050,Y10,2024/2025,2025-01-23,*Current Grades,Mathematics,3
27,TCH0014,CLS0054,Y10,2024/2025,2025-04-15,*Current Grades,Science,7
28,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97
28,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
28,TCH0012,CLS0002,Y7,2024/2025,2025-01-20,*Current Grades,English,8D
28,TCH0003,CLS0004,Y7,2024/2025,2025-05-08,*Current Grades,Mathematics,9E
28,TCH0019,CLS0011,Y7,2024/2025,2025-01-22,*Current Grades,Science,8D
29,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,95
29,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,101.95748388642104
29,TCH0012,CLS0014,Y8,2024/2025,2025-01-22,*Current Grades,English,9B
29,TCH0003,CLS0016,Y8,2024/2025,2025-06-29,*Current Grades,Mathematics,8B
29,TCH0019,CLS0023,Y8,2024/2025,2025-02-03,*Current Grades,Science,9A
30,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97
30,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,104.9225616310389
30,TCH0005,CLS0037,Y10,2024/2025,2025-01-12,*Current Grades,Construction,D2
30,TCH0001,CLS0040,Y10,2024/2025,2025-06-13,*Current Grades,Hospitality,D1
30,TCH0017,CLS0047,Y10,2024/2025,2025-05-06,*Current Grades,English,5
30,TCH0008,CLS0049,Y10,2024/2025,2025-02-28,*Current Grades,Mathematics,8
30,TCH0014,CLS0054,Y10,2024/2025,2025-06-06,*Current Grades,Science,9
31,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,95
31,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
31,TCH0010,CLS0038,Y10,2024/2025,2025-03-09,*Current Grades,Construction,M
31,TCH0016,CLS0043,Y10,2024/2025,2025-06-19,*Current Grades,Hospitality,D*
31,TCH0002,CLS0044,Y10,2024/2025,2025-03-15,*Current Grades,English,5
31,TCH0008,CLS0049,Y10,2024/2025,2025-02-24,*Current Grades,Mathematics,6
31,TCH0019,CLS0055,Y10,2024/2025,2025-02-07,*Current Grades,Science,1
32,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
32,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
32,TCH0007,CLS0025,Y9,2024/2025,2025-03-06,*Current Grades,English,8B
32,TCH0009,CLS0033,Y9,2024/2025,2025-03-24,*Current Grades,Science,8E
33,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,95
33,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
33,TCH0010,CLS0038,Y10,2024/2025,2025-03-29,*Current Grades,Construction,D2
33,TCH0001,CLS0040,Y10,2024/2025,2025-02-24,*Current Grades,Hospitality,D1
33,TCH0002,CLS0044,Y10,2024/2025,2025-05-12,*Current Grades,English,6
33,TCH0018,CLS0051,Y10,2024/2025,2025-06-25,*Current Grades,Mathematics,9
33,TCH0009,CLS0053,Y10,2024/2025,2025-01-06,*Current Grades,Science,5
34,TCH0000,CLS0096,Y13,2024/2025,2025-04-24,*Current Grades,Construction,D*D*D
34,TCH0001,CLS00100,Y13,2024/2025,2025-05-09,*Current Grades,Hospitality,DDD
34,TCH0012,CLS00106,Y13,2024/2025,2025-02-26,*Current Grades,English,C
34,TCH0003,CLS00108,Y13,2024/2025,2025-02-07,*Current Grades,Mathematics,B
34,TCH0009,CLS00113,Y13,2024/2025,2025-01-21,*Current Grades,Science,D
35,TCH0015,CLS0079,Y12,2024/2025,2025-06-26,*Current Grades,Construction,D*D*D*
35,TCH0011,CLS0082,Y12,2024/2025,2025-01-17,*Current Grades,Hospitality,D*D*D*
35,TCH0002,CLS0084,Y12,2024/2025,2025-01-08,*Current Grades,English,B
35,TCH0018,CLS0091,Y12,2024/2025,2025-03-08,*Current Grades,Mathematics,B
35,TCH0019,CLS0095,Y12,2024/2025,2025-03-12,*Current Grades,Science,A
36,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,96
36,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,103.0700351489897
36,TCH0002,CLS0000,Y7,2024/2025,2025-05-20,*Current Grades,English,7E
36,TCH0008,CLS0005,Y7,2024/2025,2025-05-21,*Current Grades,Mathematics,9C
36,TCH0004,CLS0008,Y7,2024/2025,2025-03-03,*Current Grades,Science,8C
37,TCH0010,CLS0058,Y11,2024/2025,2025-04-02,*Current Grades,Construction,D1
37,TCH0006,CLS0061,Y11,2024/2025,2025-06-28,*Current Grades,Hospitality,D2
37,TCH0012,CLS0066,Y11,2024/2025,2025-05-05,*Current Grades,English,6
37,TCH0003,CLS0068,Y11,2024/2025,2025-03-23,*Current Grades,Mathematics,4
37,TCH0009,CLS0073,Y11,2024/2025,2025-03-10,*Current Grades,Science,2
38,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,89
38,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
38,TCH0017,CLS0015,Y8,2024/2025,2025-05-10,*Current Grades,English,8A
38,TCH0018,CLS0019,Y8,2024/2025,2025-05-14,*Current Grades,Mathematics,8E
38,TCH0019,CLS0023,Y8,2024/2025,2025-06-26,*Current Grades,Science,9B
39,TCH0000,CLS0076,Y12,2024/2025,2025-01-01,*Current Grades,Construction,DDD
39,TCH0006,CLS0081,Y12,2024/2025,2025-04-21,*Current Grades,Hospitality,DDM
39,TCH0007,CLS0085,Y12,2024/2025,2025-05-12,*Current Grades,English,D
39,TCH0003,CLS0088,Y12,2024/2025,2025-04-27,*Current Grades,Mathematics,E
39,TCH0009,CLS0093,Y12,2024/2025,2025-04-26,*Current Grades,Science,B
40,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
40,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
40,TCH0000,CLS0036,Y10,2024/2025,2025-04-04,*Current Grades,Construction,D1
40,TCH0001,CLS0040,Y10,2024/2025,2025-03-05,*Current Grades,Hospitality,D1
40,TCH0017,CLS0047,Y10,2024/2025,2025-05-05,*Current Grades,English,5
40,TCH0013,CLS0050,Y10,2024/2025,2025-05-24,*Current Grades,Mathematics,5
40,TCH0019,CLS0055,Y10,2024/2025,2025-01-11,*Current Grades,Science,3
41,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99
41,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
41,TCH0017,CLS0027,Y9,2024/2025,2025-03-23,*Current Grades,English,9A
41,TCH0004,CLS0032,Y9,2024/2025,2025-01-03,*Current Grades,Science,9A
42,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
42,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
42,TCH0003,CLS0028,Y9,2024/2025,2025-01-06,*Current Grades,Mathematics,9B
42,TCH0009,CLS0033,Y9,2024/2025,2025-06-11,*Current Grades,Science,9D
43,TCH0000,CLS0076,Y12,2024/2025,2025-04-11,*Current Grades,Construction,D*D*D
43,TCH0011,CLS0082,Y12,2024/2025,2025-02-23,*Current Grades,Hospitality,D*D*D*
43,TCH0007,CLS0085,Y12,2024/2025,2025-04-03,*Current Grades,English,C
43,TCH0018,CLS0091,Y12,2024/2025,2025-06-29,*Current Grades,Mathematics,C
43,TCH0019,CLS0095,Y12,2024/2025,2025-05-08,*Current Grades,Science,A
44,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99
44,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100.00669615077396
44,TCH0002,CLS0000,Y7,2024/2025,2025-01-01,*Current Grades,English,7D
44,TCH0003,CLS0004,Y7,2024/2025,2025-04-17,*Current Grades,Mathematics,9C
44,TCH0014,CLS0010,Y7,2024/2025,2025-03-19,*Current Grades,Science,7C
45,TCH0010,CLS0058,Y11,2024/2025,2025-02-02,*Current Grades,Construction,D*
45,TCH0011,CLS0062,Y11,2024/2025,2025-01-16,*Current Grades,Hospitality,D1
45,TCH0017,CLS0067,Y11,2024/2025,2025-01-08,*Current Grades,English,4
45,TCH0013,CLS0070,Y11,2024/2025,2025-02-27,*Current Grades,Mathematics,7
46,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
46,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
46,TCH0002,CLS0000,Y7,2024/2025,2025-03-16,*Current Grades,English,8C
46,TCH0013,CLS0006,Y7,2024/2025,2025-06-29,*Current Grades,Mathematics,9A
46,TCH0014,CLS0010,Y7,2024/2025,2025-05-27,*Current Grades,Science,8B
47,TCH0010,CLS0058,Y11,2024/2025,2025-04-09,*Current Grades,Construction,D*
47,TCH0001,CLS0060,Y11,2024/2025,2025-01-06,*Current Grades,Hospitality,M
47,TCH0017,CLS0067,Y11,2024/2025,2025-03-22,*Current Grades,English,3
47,TCH0013,CLS0070,Y11,2024/2025,2025-02-19,*Current Grades,Mathematics,6
47,TCH0014,CLS0074,Y11,2024/2025,2025-05-03,*Current Grades,Science,4
48,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,84
48,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
48,TCH0017,CLS0003,Y7,2024/2025,2025-01-12,*Current Grades,English,7B
48,TCH0018,CLS0007,Y7,2024/2025,2025-04-11,*Current Grades,Mathematics,9D
48,TCH0009,CLS0009,Y7,2024/2025,2025-03-22,*Current Grades,Science,8E
49,TCH0000,CLS0096,Y13,2024/2025,2025-04-27,*Current Grades,Construction,D*D*D*
49,TCH0001,CLS00100,Y13,2024/2025,2025-06-06,*Current Grades,Hospitality,DDD
49,TCH0018,CLS00111,Y13,2024/2025,2025-04-30,*Current Grades,Mathematics,B
49,TCH0009,CLS00113,Y13,2024/2025,2025-05-30,*Current Grades,Science,C
50,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,92
50,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
50,TCH0002,CLS0012,Y8,2024/2025,2025-02-05,*Current Grades,English,9D
50,TCH0003,CLS0016,Y8,2024/2025,2025-04-01,*Current Grades,Mathematics,8E
50,TCH0014,CLS0022,Y8,2024/2025,2025-01-26,*Current Grades,Science,9A
51,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99
51,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
51,TCH0007,CLS0025,Y9,2024/2025,2025-03-17,*Current Grades,English,8D
51,TCH0018,CLS0031,Y9,2024/2025,2025-03-13,*Current Grades,Mathematics,8D
51,TCH0004,CLS0032,Y9,2024/2025,2025-03-26,*Current Grades,Science,8C
52,TCH0000,CLS0096,Y13,2024/2025,2025-06-23,*Current Grades,Construction,D*D*D*
52,TCH0006,CLS00101,Y13,2024/2025,2025-05-16,*Current Grades,Hospitality,D*DD
52,TCH0002,CLS00104,Y13,2024/2025,2025-06-20,*Current Grades,English,D
52,TCH0013,CLS00110,Y13,2024/2025,2025-02-13,*Current Grades,Mathematics,B
52,TCH0019,CLS00115,Y13,2024/2025,2025-01-26,*Current Grades,Science,A*
53,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
53,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,102.22454660192714
53,TCH0015,CLS0039,Y10,2024/2025,2025-04-25,*Current Grades,Construction,M
53,TCH0006,CLS0041,Y10,2024/2025,2025-03-26,*Current Grades,Hospitality,P
53,TCH0002,CLS0044,Y10,2024/2025,2025-01-07,*Current Grades,English,3
53,TCH0003,CLS0048,Y10,2024/2025,2025-03-17,*Current Grades,Mathematics,6
53,TCH0009,CLS0053,Y10,2024/2025,2025-01-18,*Current Grades,Science,2
54,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,92
54,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
54,TCH0008,CLS0017,Y8,2024/2025,2025-06-08,*Current Grades,Mathematics,8E
54,TCH0019,CLS0023,Y8,2024/2025,2025-02-03,*Current Grades,Science,9A
55,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,82
55,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
55,TCH0000,CLS0036,Y10,2024/2025,2025-06-16,*Current Grades,Construction,D1
55,TCH0011,CLS0042,Y10,2024/2025,2025-06-30,*Current Grades,Hospitality,D2
55,TCH0012,CLS0046,Y10,2024/2025,2025-02-14,*Current Grades,English,3
55,TCH0009,CLS0053,Y10,2024/2025,2025-04-13,*Current Grades,Science,5
56,TCH0005,CLS0057,Y11,2024/2025,2025-04-04,*Current Grades,Construction,M
56,TCH0006,CLS0061,Y11,2024/2025,2025-04-11,*Current Grades,Hospitality,M
56,TCH0007,CLS0065,Y11,2024/2025,2025-02-16,*Current Grades,English,4
56,TCH0003,CLS0068,Y11,2024/2025,2025-01-21,*Current Grades,Mathematics,3
56,TCH0019,CLS0075,Y11,2024/2025,2025-01-31,*Current Grades,Science,5
57,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,96
57,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
57,TCH0012,CLS0002,Y7,2024/2025,2025-04-12,*Current Grades,English,9B
57,TCH0008,CLS0005,Y7,2024/2025,2025-01-21,*Current Grades,Mathematics,9E
57,TCH0019,CLS0011,Y7,2024/2025,2025-04-22,*Current Grades,Science,9B
