id,school_id,payscale,specialism,date_started_school
TCH0213,SCH02,U1,Teacher of Mathematics,2024-05-01
TCH0218,SCH02,U3,,2022-12-01
TCH0223,SCH02,M1,,2022-01-01
TCH0228,SCH02,M2,Teacher of Mathematics,2025-03-01
TCH0233,SCH02,U3,,2025-10-01
TCH0238,SCH02,,,2022-12-01
TCH0204,SCH02,,Teacher of Science,2025-09-01
TCH0209,SCH02,M3,Teacher of Science,2025-04-01
TCH0214,SCH02,M3,,2020-06-01
TCH0219,SCH02,U3,Teacher of Science,2023-10-01
TCH0224,SCH02,U1,,2021-12-01
TCH0229,SCH02,M3,Teacher of Science,2020-01-01
TCH0234,SCH02,M3,Teacher of Science,2020-10-01
TCH0239,SCH02,,Teacher of Science,2022-05-01
TCH0300,SCH03,M1,,2023-04-01
TCH0305,SCH03,U1,Teacher of Construction,2024-02-01
TCH0310,SCH03,M1,,2020-07-01
TCH0315,SCH03,,,2021-11-01
TCH0320,SCH03,U1,,2023-11-01
TCH0325,SCH03,M3,Teacher of Construction,2020-03-01
TCH0330,SCH03,,Teacher of Construction,2020-10-01
TCH0335,SCH03,U3,Teacher of Construction,2023-06-01
TCH0301,SCH03,,,2022-05-01
TCH0306,SCH03,,,2025-01-01
TCH0311,SCH03,U2,,2020-03-01
TCH0316,SCH03,U3,Teacher of Hospitality,2021-04-01
TCH0321,SCH03,U2,Teacher of Hospitality,2020-12-01
TCH0326,SCH03,,,2024-01-01
TCH0331,SCH03,U1,Teacher of Hospitality,2025-01-01
TCH0336,SCH03,,Teacher of Hospitality,2023-02-01
TCH0302,SCH03,,,2022-10-01
TCH0307,SCH03,U3,Teacher of English,2022-04-01
TCH0312,SCH03,,Teacher of English,2022-08-01
TCH0317,SCH03,M3,Teacher of English,2020-12-01
TCH0322,SCH03,,Teacher of English,2020-07-01
TCH0327,SCH03,,Teacher of English,2025-08-01
TCH0332,SCH03,,,2025-01-01
TCH0337,SCH03,,Teacher of English,2024-04-01
TCH0303,SCH03,U2,Teacher of Mathematics,2024-03-01
TCH0308,SCH03,,,2022-01-01
TCH0313,SCH03,M3,,2024-01-01
TCH0318,SCH03,,,2022-06-01
TCH0323,SCH03,U2,Teacher of Mathematics,2020-05-01
TCH0328,SCH03,U3,Teacher of Mathematics,2024-12-01
TCH0333,SCH03,,Teacher of Mathematics,2021-10-01
TCH0338,SCH03,,,2022-12-01
TCH0304,SCH03,,,2020-07-01
TCH0309,SCH03,M2,Teacher of Science,2023-02-01
TCH0314,SCH03,M2,Teacher of Science,2023-12-01
TCH0319,SCH03,M1,,2021-09-01
TCH0324,SCH03,U2,,2020-03-01
TCH0329,SCH03,,,2020-06-01
TCH0334,SCH03,M1,,2023-12-01
TCH0339,SCH03,,,2023-12-01
TCH0400,SCH04,,,2022-04-01
TCH0405,SCH04,,,2024-04-01
TCH0410,SCH04,M2,,2022-12-01
TCH0415,SCH04,,Teacher of Construction,2024-04-01
TCH0420,SCH04,M3,Teacher of Construction,2021-04-01
TCH0425,SCH04,,Teacher of Construction,2022-10-01
TCH0430,SCH04,M2,Teacher of Construction,2025-08-01
TCH0435,SCH04,M1,Teacher of Construction,2021-04-01
TCH0401,SCH04,,Teacher of Hospitality,2024-02-01
TCH0406,SCH04,U3,,2025-07-01
TCH0411,SCH04,U3,,2021-04-01
TCH0416,SCH04,,Teacher of Hospitality,2023-05-01
TCH0421,SCH04,U3,Teacher of Hospitality,2024-11-01
TCH0426,SCH04,M2,,2023-09-01
TCH0431,SCH04,U1,,2023-12-01
TCH0436,SCH04,U1,Teacher of Hospitality,2024-03-01
TCH0402,SCH04,,,2024-05-01
TCH0407,SCH04,M1,Teacher of English,2022-11-01
TCH0412,SCH04,,Teacher of English,2025-03-01
TCH0417,SCH04,,Teacher of English,2021-02-01
TCH0422,SCH04,M2,Teacher of English,2021-05-01
TCH0427,SCH04,U3,,2025-04-01
TCH0432,SCH04,M3,,2020-04-01
TCH0437,SCH04,M3,,2022-01-01
TCH0403,SCH04,M3,Teacher of Mathematics,2025-10-01
TCH0408,SCH04,,Teacher of Mathematics,2024-04-01
TCH0413,SCH04,,,2020-12-01
TCH0418,SCH04,,,2022-07-01
TCH0423,SCH04,M3,Teacher of Mathematics,2020-05-01
TCH0428,SCH04,,,2023-08-01
TCH0433,SCH04,,,2021-01-01
TCH0438,SCH04,U1,,2023-04-01
TCH0404,SCH04,U3,,2021-12-01
TCH0409,SCH04,,Teacher of Science,2022-05-01
TCH0414,SCH04,,Teacher of Science,2022-05-01
TCH0419,SCH04,,Teacher of Science,2024-07-01
TCH0424,SCH04,,Teacher of Science,2024-02-01
TCH0429,SCH04,M2,Teacher of Science,2023-04-01
TCH0434,SCH04,M1,,2024-09-01
TCH0439,SCH04,,,2020-10-01
