student_id,school_id,teacher_id,class_id,year_group,academic_year,date,assessment_type,subject,score
5,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,99.6
5,SCH00,,CLS0073,Y10,2024/2025,2025-01-23,* Current Grades,Construction,P
5,SCH00,,,Y10,2024/2025,2025-06-26,* Current Grades,Hospitality,D1
5,SCH00,TCH0002,CLS0088,Y10,2024/2025,2025-04-09,* Current Grades,English,5
5,SCH00,TCH0033,CLS00102,Y10,2024/2025,2025-03-14,* Current Grades,Mathematics,7
6,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99.0
6,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,97.7
6,SCH00,TCH0037,CLS0007,Y7,2024/2025,2025-06-16,* Current Grades (KS3),English,7D
6,SCH00,,CLS0011,Y7,2024/2025,2025-04-19,* Current Grades (KS3),Mathematics,8C
6,SCH00,TCH0034,CLS0022,Y7,2024/2025,2025-04-24,* Current Grades (KS3),Science,9A
7,SCH00,TCH0030,CLS00118,Y11,2024/2025,2025-04-27,* Current Grades,Construction,D*
7,SCH00,TCH0021,CLS00124,Y11,2024/2025,2025-01-23,* Current Grades,Hospitality,D*
7,SCH00,,,Y11,2024/2025,2025-04-15,* Current Grades,English,7
7,SCH00,TCH0029,CLS00149,Y11,2024/2025,2025-04-09,* Current Grades,Science,7
8,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98.0
8,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,99.6
8,SCH00,,,Y9,2024/2025,2025-01-20,* Current Grades (KS3),English,7A
8,SCH00,,CLS0056,Y9,2024/2025,2025-05-08,* Current Grades (KS3),Mathematics,7C
8,SCH00,TCH0039,CLS0071,Y9,2024/2025,2025-01-22,* Current Grades (KS3),Science,7E
9,SCH00,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,95.0
9,SCH00,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,97.0
9,SCH00,TCH0012,CLS0026,Y8,2024/2025,2025-03-29,* Current Grades (KS3),English,8B
9,SCH00,TCH0028,CLS0037,Y8,2024/2025,2025-01-22,* Current Grades (KS3),Mathematics,9B
9,SCH00,,CLS0041,Y8,2024/2025,2025-06-29,* Current Grades (KS3),Science,8E
10,SCH00,TCH0000,CLS00192,Y13,2024/2025,2025-06-28,* Current Grades (KS5),Construction,DDD
10,SCH00,TCH0021,CLS00204,Y13,2024/2025,2025-03-06,* Current Grades (KS5),Hospitality,PPP
10,SCH00,,,Y13,2024/2025,2025-04-17,* Current Grades (KS5),Mathematics,U
10,SCH00,,,Y13,2024/2025,2025-06-13,* Current Grades (KS5),Science,C
11,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,91.0
11,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,91.7
11,SCH00,TCH0012,CLS0050,Y9,2024/2025,2025-04-11,* Current Grades (KS3),English,8E
11,SCH00,TCH0008,CLS0057,Y9,2024/2025,2025-03-07,* Current Grades (KS3),Mathematics,8E
11,SCH00,TCH0029,CLS0069,Y9,2024/2025,2025-02-06,* Current Grades (KS3),Science,7E
12,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,95.0
12,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100.0
12,SCH00,TCH0027,CLS0005,Y7,2024/2025,2025-02-18,* Current Grades (KS3),English,8A
12,SCH00,,,Y7,2024/2025,2025-04-20,* Current Grades (KS3),Mathematics,8D
12,SCH00,,CLS0016,Y7,2024/2025,2025-05-19,* Current Grades (KS3),Science,9A
13,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98.0
13,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,97.1
13,SCH00,TCH0002,CLS0000,Y7,2024/2025,2025-01-13,* Current Grades (KS3),English,8C
13,SCH00,TCH0023,CLS0012,Y7,2024/2025,2025-04-24,* Current Grades (KS3),Mathematics,8A
13,SCH00,,CLS0018,Y7,2024/2025,2025-05-04,* Current Grades (KS3),Science,7E
14,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97.0
14,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,87.3
14,SCH00,,CLS0006,Y7,2024/2025,2025-06-20,* Current Grades (KS3),English,8A
14,SCH00,,,Y7,2024/2025,2025-05-25,* Current Grades (KS3),Mathematics,8D
14,SCH00,TCH0039,CLS0023,Y7,2024/2025,2025-06-17,* Current Grades (KS3),Science,7B
15,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,94.0
15,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,91.7
15,SCH00,TCH0022,CLS0004,Y7,2024/2025,2025-02-26,* Current Grades (KS3),English,7D
15,SCH00,TCH0008,CLS0009,Y7,2024/2025,2025-02-07,* Current Grades (KS3),Mathematics,8E
15,SCH00,,CLS0018,Y7,2024/2025,2025-01-21,* Current Grades (KS3),Science,8A
16,SCH00,TCH0020,CLS00156,Y12,2024/2025,2025-05-24,* Current Grades (KS5),Construction,D*D*D
16,SCH00,,,Y12,2024/2025,2025-05-06,* Current Grades (KS5),Hospitality,D*D*D*
16,SCH00,,,Y12,2024/2025,2025-01-08,* Current Grades (KS5),English,C
16,SCH00,,,Y12,2024/2025,2025-03-08,* Current Grades (KS5),Mathematics,C
16,SCH00,TCH0034,CLS00190,Y12,2024/2025,2025-03-12,* Current Grades (KS5),Science,A
17,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,96.0
17,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,93.2
17,SCH00,,,Y7,2024/2025,2025-05-21,* Current Grades (KS3),Mathematics,8B
17,SCH00,,CLS0016,Y7,2024/2025,2025-03-03,* Current Grades (KS3),Science,8E
18,SCH00,TCH0021,CLS00124,Y11,2024/2025,2025-04-02,* Current Grades,Hospitality,D2
18,SCH00,,,Y11,2024/2025,2025-06-28,* Current Grades,English,3
18,SCH00,,,Y11,2024/2025,2025-05-05,* Current Grades,Mathematics,7
18,SCH00,,,Y11,2024/2025,2025-03-23,* Current Grades,Science,5
19,SCH00,TCH0010,CLS00114,Y11,2024/2025,2025-04-06,* Current Grades,Construction,D*
19,SCH00,TCH0031,CLS00126,Y11,2024/2025,2025-03-14,* Current Grades,Hospitality,D2
19,SCH00,,,Y11,2024/2025,2025-06-20,* Current Grades,English,6
19,SCH00,TCH0033,CLS00142,Y11,2024/2025,2025-02-21,* Current Grades,Mathematics,7
19,SCH00,TCH0024,CLS00148,Y11,2024/2025,2025-05-05,* Current Grades,Science,9
20,SCH00,TCH0010,CLS00194,Y13,2024/2025,2025-01-01,* Current Grades (KS5),Construction,D*DD
20,SCH00,,,Y13,2024/2025,2025-04-21,* Current Grades (KS5),English,D
20,SCH00,TCH0013,CLS00218,Y13,2024/2025,2025-05-12,* Current Grades (KS5),Mathematics,C
20,SCH00,,,Y13,2024/2025,2025-04-27,* Current Grades (KS5),Science,B
21,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99.0
21,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,92.6
21,SCH00,TCH0037,CLS0055,Y9,2024/2025,2025-05-22,* Current Grades (KS3),English,9A
21,SCH00,TCH0038,CLS0063,Y9,2024/2025,2025-01-20,* Current Grades (KS3),Mathematics,9E
21,SCH00,,CLS0065,Y9,2024/2025,2025-03-05,* Current Grades (KS3),Science,9B
22,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97.0
22,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,97.1
22,SCH00,TCH0007,CLS0049,Y9,2024/2025,2025-03-09,* Current Grades (KS3),English,9A
22,SCH00,TCH0023,CLS0060,Y9,2024/2025,2025-02-20,* Current Grades (KS3),Mathematics,8C
22,SCH00,TCH0024,CLS0068,Y9,2024/2025,2025-05-17,* Current Grades (KS3),Science,8D
23,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98.0
23,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100.0
23,SCH00,TCH0037,CLS0007,Y7,2024/2025,2025-05-09,* Current Grades (KS3),English,7E
23,SCH00,TCH0008,CLS0009,Y7,2024/2025,2025-05-12,* Current Grades (KS3),Mathematics,9C
23,SCH00,,CLS0017,Y7,2024/2025,2025-01-06,* Current Grades (KS3),Science,8A
24,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,92.0
24,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,87.2
24,SCH00,TCH0037,CLS0055,Y9,2024/2025,2025-05-25,* Current Grades (KS3),English,7E
24,SCH00,,CLS0056,Y9,2024/2025,2025-04-11,* Current Grades (KS3),Mathematics,8A
24,SCH00,TCH0024,CLS0068,Y9,2024/2025,2025-02-23,* Current Grades (KS3),Science,8E
25,SCH00,,,Y11,2024/2025,2025-01-16,* Current Grades,Construction,D1
25,SCH00,TCH0016,CLS00123,Y11,2024/2025,2025-05-03,* Current Grades,Hospitality,D2
25,SCH00,TCH0007,CLS00129,Y11,2024/2025,2025-03-27,* Current Grades,English,4
25,SCH00,,,Y11,2024/2025,2025-01-01,* Current Grades,Mathematics,6
25,SCH00,,,Y11,2024/2025,2025-04-17,* Current Grades,Science,6
26,SCH00,TCH0025,CLS00197,Y13,2024/2025,2025-05-13,* Current Grades (KS5),Construction,DDM
26,SCH00,TCH0021,CLS00204,Y13,2024/2025,2025-02-02,* Current Grades (KS5),Hospitality,PPP
26,SCH00,TCH0027,CLS00213,Y13,2024/2025,2025-01-16,* Current Grades (KS5),English,A
26,SCH00,,,Y13,2024/2025,2025-01-08,* Current Grades (KS5),Mathematics,C
26,SCH00,,,Y13,2024/2025,2025-02-27,* Current Grades (KS5),Science,B
27,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,96.0
27,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,94.6
27,SCH00,TCH0007,CLS0001,Y7,2024/2025,2025-05-23,* Current Grades (KS3),English,9A
27,SCH00,,,Y7,2024/2025,2025-01-21,* Current Grades (KS3),Mathematics,9A
27,SCH00,TCH0034,CLS0022,Y7,2024/2025,2025-03-26,* Current Grades (KS3),Science,9A
28,SCH00,TCH0000,CLS00152,Y12,2024/2025,2025-03-02,* Current Grades (KS5),Construction,D*D*D*
28,SCH00,TCH0021,CLS00164,Y12,2024/2025,2025-04-04,* Current Grades (KS5),Hospitality,D*D*D
28,SCH00,TCH0027,CLS00173,Y12,2024/2025,2025-05-14,* Current Grades (KS5),English,A
28,SCH00,TCH0023,CLS00180,Y12,2024/2025,2025-04-09,* Current Grades (KS5),Mathematics,C
28,SCH00,,CLS00184,Y12,2024/2025,2025-01-06,* Current Grades (KS5),Science,A*
29,SCH00,TCH0035,CLS00119,Y11,2024/2025,2025-02-13,* Current Grades,Construction,M
29,SCH00,TCH0031,CLS00126,Y11,2024/2025,2025-03-19,* Current Grades,Hospitality,M
29,SCH00,,,Y11,2024/2025,2025-01-27,* Current Grades,English,3
29,SCH00,TCH0029,CLS00149,Y11,2024/2025,2025-06-28,* Current Grades,Science,5
30,SCH00,,CLS00155,Y12,2024/2025,2025-02-22,* Current Grades (KS5),Construction,D*D*D
30,SCH00,TCH0001,CLS00160,Y12,2024/2025,2025-03-14,* Current Grades (KS5),Hospitality,DDD
30,SCH00,,CLS00185,Y12,2024/2025,2025-03-14,* Current Grades (KS5),Science,D
31,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,95.0
31,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,97.6
31,SCH00,TCH0022,CLS0004,Y7,2024/2025,2025-02-18,* Current Grades (KS3),English,7E
31,SCH00,TCH0008,CLS0009,Y7,2024/2025,2025-06-23,* Current Grades (KS3),Mathematics,9A
31,SCH00,,CLS0016,Y7,2024/2025,2025-01-01,* Current Grades (KS3),Science,9A
32,SCH00,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99.0
32,SCH00,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,90.7
32,SCH00,TCH0022,CLS0028,Y8,2024/2025,2025-04-13,* Current Grades (KS3),English,9E
32,SCH00,,CLS0032,Y8,2024/2025,2025-01-28,* Current Grades (KS3),Mathematics,9E
33,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98.0
33,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100.0
33,SCH00,TCH0007,CLS0001,Y7,2024/2025,2025-06-06,* Current Grades (KS3),English,9A
33,SCH00,TCH0008,CLS0009,Y7,2024/2025,2025-05-12,* Current Grades (KS3),Mathematics,9C
33,SCH00,TCH0034,CLS0022,Y7,2024/2025,2025-01-14,* Current Grades (KS3),Science,9A
34,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,93.0
34,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,89.3
34,SCH00,TCH0030,CLS0078,Y10,2024/2025,2025-01-26,* Current Grades,Construction,D1
34,SCH00,TCH0006,CLS0081,Y10,2024/2025,2025-06-24,* Current Grades,Hospitality,D2
34,SCH00,TCH0012,CLS0090,Y10,2024/2025,2025-05-29,* Current Grades,English,8
34,SCH00,TCH0028,CLS00101,Y10,2024/2025,2025-01-17,* Current Grades,Mathematics,7
34,SCH00,TCH0019,CLS00107,Y10,2024/2025,2025-01-01,* Current Grades,Science,7
35,SCH00,,CLS00113,Y11,2024/2025,2025-01-07,* Current Grades,Construction,D1
35,SCH00,,,Y11,2024/2025,2025-03-17,* Current Grades,Hospitality,D1
35,SCH00,,,Y11,2024/2025,2025-01-18,* Current Grades,English,4
35,SCH00,TCH0013,CLS00138,Y11,2024/2025,2025-05-27,* Current Grades,Mathematics,7
35,SCH00,,CLS00145,Y11,2024/2025,2025-05-28,* Current Grades,Science,7
36,SCH00,TCH0035,CLS00199,Y13,2024/2025,2025-02-16,* Current Grades (KS5),Construction,D*DD
36,SCH00,TCH0016,CLS00203,Y13,2024/2025,2025-03-17,* Current Grades (KS5),Hospitality,D*DD
36,SCH00,TCH0027,CLS00213,Y13,2024/2025,2025-01-28,* Current Grades (KS5),English,A*
36,SCH00,,,Y13,2024/2025,2025-04-23,* Current Grades (KS5),Science,A
37,SCH00,,,Y12,2024/2025,2025-05-13,* Current Grades (KS5),Construction,D*D*D
37,SCH00,TCH0031,CLS00166,Y12,2024/2025,2025-05-04,* Current Grades (KS5),Hospitality,DDD
37,SCH00,TCH0023,CLS00180,Y12,2024/2025,2025-04-04,* Current Grades (KS5),Mathematics,C
37,SCH00,TCH0019,CLS00187,Y12,2024/2025,2025-01-08,* Current Grades (KS5),Science,A*
38,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,90.0
38,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100.0
38,SCH00,TCH0038,CLS0063,Y9,2024/2025,2025-02-18,* Current Grades (KS3),Mathematics,9C
38,SCH00,,CLS0065,Y9,2024/2025,2025-03-05,* Current Grades (KS3),Science,8E
39,SCH00,,CLS00113,Y11,2024/2025,2025-06-08,* Current Grades,Construction,D1
39,SCH00,TCH0036,CLS00127,Y11,2024/2025,2025-04-22,* Current Grades,Hospitality,D2
39,SCH00,,,Y11,2024/2025,2025-05-07,* Current Grades,English,5
39,SCH00,TCH0033,CLS00142,Y11,2024/2025,2025-03-25,* Current Grades,Mathematics,7
39,SCH00,TCH0034,CLS00150,Y11,2024/2025,2025-05-10,* Current Grades,Science,5
40,SCH00,TCH0010,CLS00154,Y12,2024/2025,2025-05-25,* Current Grades (KS5),Construction,DDM
40,SCH00,TCH0031,CLS00166,Y12,2024/2025,2025-03-13,* Current Grades (KS5),Hospitality,MMM
40,SCH00,,,Y12,2024/2025,2025-04-18,* Current Grades (KS5),English,C
40,SCH00,,,Y12,2024/2025,2025-04-01,* Current Grades (KS5),Mathematics,D
40,SCH00,TCH0034,CLS00190,Y12,2024/2025,2025-05-01,* Current Grades (KS5),Science,C
41,SCH00,TCH0025,CLS00197,Y13,2024/2025,2025-02-10,* Current Grades (KS5),Construction,D*DD
41,SCH00,,,Y13,2024/2025,2025-06-23,* Current Grades (KS5),Hospitality,D*D*D
41,SCH00,TCH0037,CLS00215,Y13,2024/2025,2025-02-05,* Current Grades (KS5),English,D
41,SCH00,TCH0008,CLS00217,Y13,2024/2025,2025-02-12,* Current Grades (KS5),Mathematics,A*
41,SCH00,,,Y13,2024/2025,2025-05-23,* Current Grades (KS5),Science,D
42,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,77.0
42,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,79.8
42,SCH00,TCH0030,CLS0078,Y10,2024/2025,2025-05-02,* Current Grades,Construction,M
42,SCH00,TCH0036,CLS0087,Y10,2024/2025,2025-03-19,* Current Grades,Hospitality,M
42,SCH00,TCH0017,CLS0091,Y10,2024/2025,2025-05-06,* Current Grades,English,3
42,SCH00,TCH0028,CLS00101,Y10,2024/2025,2025-01-03,* Current Grades,Mathematics,4
43,SCH00,,CLS00153,Y12,2024/2025,2025-03-13,* Current Grades (KS5),Construction,U
43,SCH00,TCH0001,CLS00160,Y12,2024/2025,2025-05-07,* Current Grades (KS5),Hospitality,U
43,SCH00,TCH0007,CLS00169,Y12,2024/2025,2025-05-02,* Current Grades (KS5),English,U
43,SCH00,TCH0013,CLS00178,Y12,2024/2025,2025-03-05,* Current Grades (KS5),Mathematics,D
43,SCH00,TCH0024,CLS00188,Y12,2024/2025,2025-06-10,* Current Grades (KS5),Science,E
44,SCH00,TCH0020,CLS00196,Y13,2024/2025,2025-03-20,* Current Grades (KS5),Construction,D*DD
44,SCH00,TCH0021,CLS00204,Y13,2024/2025,2025-06-11,* Current Grades (KS5),Hospitality,DDD
44,SCH00,TCH0002,CLS00208,Y13,2024/2025,2025-06-10,* Current Grades (KS5),English,A
44,SCH00,TCH0028,CLS00221,Y13,2024/2025,2025-02-06,* Current Grades (KS5),Mathematics,A
44,SCH00,TCH0024,CLS00228,Y13,2024/2025,2025-05-29,* Current Grades (KS5),Science,A*
45,SCH00,TCH0010,CLS00114,Y11,2024/2025,2025-03-05,* Current Grades,Construction,D2
45,SCH00,TCH0021,CLS00124,Y11,2024/2025,2025-02-12,* Current Grades,Hospitality,M
45,SCH00,TCH0027,CLS00133,Y11,2024/2025,2025-01-25,* Current Grades,English,5
45,SCH00,TCH0033,CLS00142,Y11,2024/2025,2025-06-29,* Current Grades,Mathematics,4
45,SCH00,,,Y11,2024/2025,2025-03-07,* Current Grades,Science,4
46,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,93.0
46,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,93.8
46,SCH00,,CLS0054,Y9,2024/2025,2025-04-20,* Current Grades (KS3),English,9C
46,SCH00,TCH0008,CLS0057,Y9,2024/2025,2025-04-01,* Current Grades (KS3),Mathematics,9B
46,SCH00,,CLS0065,Y9,2024/2025,2025-04-23,* Current Grades (KS3),Science,8B
47,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,90.0
47,SCH00,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,95.3
47,SCH00,TCH0002,CLS0000,Y7,2024/2025,2025-04-28,* Current Grades (KS3),English,8A
47,SCH00,TCH0038,CLS0015,Y7,2024/2025,2025-04-10,* Current Grades (KS3),Mathematics,7A
47,SCH00,TCH0019,CLS0019,Y7,2024/2025,2025-01-26,* Current Grades (KS3),Science,7E
48,SCH00,TCH0035,CLS00159,Y12,2024/2025,2025-04-10,* Current Grades (KS5),Construction,D*DD
48,SCH00,,,Y12,2024/2025,2025-03-06,* Current Grades (KS5),Hospitality,D*D*D
48,SCH00,TCH0007,CLS00169,Y12,2024/2025,2025-04-04,* Current Grades (KS5),English,E
48,SCH00,,CLS00179,Y12,2024/2025,2025-05-21,* Current Grades (KS5),Mathematics,C
48,SCH00,TCH0024,CLS00188,Y12,2024/2025,2025-01-29,* Current Grades (KS5),Science,D
49,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99.0
49,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,95.6
49,SCH00,,,Y10,2024/2025,2025-04-01,* Current Grades,Construction,D2
49,SCH00,TCH0036,CLS0087,Y10,2024/2025,2025-06-24,* Current Grades,Hospitality,P
49,SCH00,TCH0027,CLS0093,Y10,2024/2025,2025-01-16,* Current Grades,English,6
49,SCH00,TCH0023,CLS00100,Y10,2024/2025,2025-01-27,* Current Grades,Mathematics,3
50,SCH00,TCH0000,CLS00152,Y12,2024/2025,2025-04-07,* Current Grades (KS5),Construction,D*D*D*
50,SCH00,,CLS00174,Y12,2024/2025,2025-03-19,* Current Grades (KS5),English,C
50,SCH00,,,Y12,2024/2025,2025-06-19,* Current Grades (KS5),Mathematics,D
51,SCH00,,CLS00193,Y13,2024/2025,2025-06-22,* Current Grades (KS5),Construction,DDM
51,SCH00,,,Y13,2024/2025,2025-01-08,* Current Grades (KS5),Hospitality,MMM
51,SCH00,TCH0012,CLS00210,Y13,2024/2025,2025-06-16,* Current Grades (KS5),English,E
51,SCH00,TCH0039,CLS00231,Y13,2024/2025,2025-02-22,* Current Grades (KS5),Science,D
52,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,91.0
52,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,88.0
52,SCH00,TCH0011,CLS0082,Y10,2024/2025,2025-03-10,* Current Grades,Hospitality,D2
52,SCH00,,,Y10,2024/2025,2025-05-18,* Current Grades,English,2
52,SCH00,,CLS0099,Y10,2024/2025,2025-03-06,* Current Grades,Mathematics,4
52,SCH00,TCH0034,CLS00110,Y10,2024/2025,2025-05-23,* Current Grades,Science,2
53,SCH00,,,Y12,2024/2025,2025-06-15,* Current Grades (KS5),Construction,DDD
53,SCH00,TCH0036,CLS00167,Y12,2024/2025,2025-05-29,* Current Grades (KS5),Hospitality,MMM
53,SCH00,,CLS00174,Y12,2024/2025,2025-06-07,* Current Grades (KS5),English,D
53,SCH00,,CLS00176,Y12,2024/2025,2025-05-21,* Current Grades (KS5),Mathematics,U
54,SCH00,TCH0020,CLS00156,Y12,2024/2025,2025-06-30,* Current Grades (KS5),Construction,D*D*D
54,SCH00,TCH0031,CLS00166,Y12,2024/2025,2025-01-12,* Current Grades (KS5),Hospitality,D*DD
54,SCH00,,CLS00174,Y12,2024/2025,2025-01-03,* Current Grades (KS5),English,B
54,SCH00,,,Y12,2024/2025,2025-04-10,* Current Grades (KS5),Mathematics,B
54,SCH00,,CLS00186,Y12,2024/2025,2025-01-11,* Current Grades (KS5),Science,A
55,SCH00,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97.0
55,SCH00,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,99.0
55,SCH00,TCH0002,CLS0024,Y8,2024/2025,2025-03-25,* Current Grades (KS3),English,8A
